Token	Corpus	Speaker_ID	Genre	Comments	Type	SemanticRelation	Whole.Genitive	Whole.Sentence	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy5	Possessor.Animacy3	Possessor.Animacy2	Possessum.Animacy2	Possessor.Givenness	ProtoSemanticRelation	PersistenceBinary	Possessor.Thematicity	Possessor.Length	Possessum.Length	TTR
bk11.0032.01	Brown	BK11	General Fiction	0	of	BOD	the face  of that vile creature		that vile creature	creature	CommonN	N	the face	face	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	3	2	72
bk02.0033.01	Brown	BK02	General Fiction	0	of	BOD	the hands  of a+little Mexican named Martinez		a+little Mexican named Martinez	Mexican	CommonN	Y	the hands	hands	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	4	2	77
bk11.0087.01	Brown	BK11	General Fiction	0	of	BOD	the hands  of Jed Hawksworth		Jed Hawksworth	Jed Hawksworth	ProperN	N	the hands	hands	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	2	2	75
bk03.0049.02	Brown	BK03	General Fiction	0	of	BOD	the neck  of a wounded Filipino		a wounded Filipino	Filipino	CommonN	N	the neck	neck	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	3	2	77
bk01.0086.02	Brown	BK01	General Fiction	0	s	BOD	a moth's wing		a moth's	moth	CommonN	N	wing	wing	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	2	1	82.35294118
bk12.0016.02	Brown	BK12	General Fiction	0	s	BOD	her husband's drugged body		her husband's	husband	CommonN	N	drugged body	body	animate	animate	Anim	Inanim	g	Y	Y	-3	2	2	81
bk10.0043.05	Brown	BK10	General Fiction	0	s	BOD	his mother's hand		his mother's	mother	CommonN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	N	-3	2	1	76
bk14.0031.02	Brown	BK14	General Fiction	0	s	BOD	the Madonna's slender legs and feet		the Madonna's	Madonna	CommonN	N	slender legs and feet	legs	animate	animate	Anim	Inanim	g	Y	N	-3	2	4	78
bk10.0123.01	Brown	BK10	General Fiction	0	s	BOD	Eli's flowing white locks and rugged features		Eli's	Eli	ProperN	N	flowing white locks and rugged features	features	animate	animate	Anim	Inanim	g	Y	N	-2.823908741	1	6	77
bk10.0098.01	Brown	BK10	General Fiction	0	s	BOD	Eli's hand		Eli's	Eli	ProperN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	N	-2.823908741	1	1	75
bk05.0051.01	Brown	BK05	General Fiction	0	s	BOD	Frederick Seward's head		Frederick Seward's	Frederick Seward	ProperN	N	head	head	animate	animate	Anim	Inanim	g	Y	Y	-2.823908741	2	1	77
bk02.0091.01	Brown	BK02	General Fiction	0	of	BOD	the heads  of the rest of the patrol		the rest of the patrol	rest	CommonN	N	the heads	heads	animate	animate	Anim	Inanim	g	Y	Y	-2.823908741	5	2	72
bk06.0036.02	Brown	BK06	General Fiction	0	s	BOD	his Mama's arms		his Mama's	Mama	CommonN	N	arms	arms	animate	animate	Anim	Inanim	g	Y	N	-2.698970004	2	1	82.8125
bk06.0089.01	Brown	BK06	General Fiction	0	s	BOD	a boy's lively eyes		a boy's	boy	CommonN	N	lively eyes	eyes	animate	animate	Anim	Inanim	n	Y	Y	-2.698970004	2	2	79.48717949
bk14.0009.03	Brown	BK14	General Fiction	0	s	BOD	Christ's body		Christ's	Christ	ProperN	N	body	body	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	1	1	74
bk14.0031.03	Brown	BK14	General Fiction	0	s	BOD	Christ's body		Christ's	Christ	ProperN	N	body	body	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	1	1	78
bk06.0032.04	Brown	BK06	General Fiction	0	of	BOD	the mangled corpse  of the bearded stranger		the bearded stranger	stranger	CommonN	N	the mangled corpse	corpse	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	3	3	76.5625
bk06.0012.01	Brown	BK06	General Fiction	0	s	BOD	the stranger's head		the stranger's	stranger	CommonN	N	head	head	animate	animate	Anim	Inanim	g	Y	N	-2.602059991	2	1	74.74747475
bk09.0023.02	Brown	BK09	General Fiction	0	s	BOD	the rider's brains		the rider's	rider	CommonN	N	brains	brains	animate	animate	Anim	Inanim	g	Y	N	-2.522878745	2	1	70
bk02.0082.01	Brown	BK02	General Fiction	0	s	BOD	White's arm		White's	White	ProperN	N	arm	arm	animate	animate	Anim	Inanim	g	Y	N	-2.455931956	1	1	80
bk14.0002.01	Brown	BK14	General Fiction	0	s	BOD	Jesus's body		Jesus's	Jesus	ProperN	Y	body	body	animate	animate	Anim	Inanim	g	Y	N	-2.455931956	1	1	75
bk14.0018.01	Brown	BK14	General Fiction	0	s	BOD	Jesus' inert body		Jesus'	Jesus	ProperN	Y	inert body	body	animate	animate	Anim	Inanim	g	Y	N	-2.455931956	1	2	67
bk15.0101.01	Brown	BK15	General Fiction	0	s	BOD	Juanita's eyes		Juanita's	Juanita	ProperN	N	eyes	eyes	animate	animate	Anim	Inanim	g	Y	Y	-2.096910013	1	1	71
bk06.0118.01	Brown	BK06	General Fiction	0	s	BOD	Papa's slender fingers		Papa's	Papa	ProperN	N	slender fingers	finger	animate	animate	Anim	Inanim	g	Y	N	-2.096910013	1	2	76
bk14.0122.02	Brown	BK14	General Fiction	0	s	BOD	Michelangelo's injured eye		Michelangelo's	Michelangelo	ProperN	N	injured eye	eye	animate	animate	Anim	Inanim	g	Y	N	-2.045757491	1	2	76.31578947
bk18.0137.01	Brown	BK18	General Fiction	0	s	BOD	Eileen's hand		Eileen's	Eileen	ProperN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	Y	-1.886056648	1	1	82
bk01.0086.03	Brown	BK01	General Fiction	0	s	BOD	Scotty's chest		Scotty's	Scotty	ProperN	N	chest	chest	animate	animate	Anim	Inanim	g	Y	Y	-1.688246139	1	1	82.35294118
bk01.0148.01	Brown	BK01	General Fiction	0	s	BOD	Scotty's face		Scotty's	Scotty	ProperN	N	face	face	animate	animate	Anim	Inanim	g	Y	N	-1.688246139	1	1	71
bj55.0028.01	Brown	BJ55	Learned	0	s	BOD	the trapper's arms		the trapper's	trapper	CommonN	N	arms	arms	animate	animate	Anim	Inanim	g	Y	Y	-2.823908741	2	1	73
bj53.0023.01	Brown	BJ53	Learned	0	s	BOD	the patient's hand		the patient's	patient	CommonN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	N	-1.920818754	2	1	66
bg05.0077.02	Brown	BG05	Non-fiction	0	s	BOD	Ahmad's blood		Ahmad's	Ahmad	ProperN	N	blood	blood	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	1	1	81
bg04.0113.02	Brown	BG04	Non-fiction	0	of	BOD	the dead body  of some rodent		some rodent	rodent	CommonN	N	the dead body	body	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	3	73
bg40.0069.03	Brown	BG40	Non-fiction	0	s	BOD	a lady's hip		a lady's	lady	CommonN	N	hip	hip	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	2	1	68
bg41.0088.01	Brown	BG41	Non-fiction	0	s	BOD	Emmett's lungs		Emmett's	Emmett	ProperN	N	lungs	lungs	animate	animate	Anim	Inanim	g	Y	N	-3	1	1	71
bg50.0057.01	Brown	BG50	Non-fiction	0	s	BOD	Suvorov's face		Suvorov's	Suvorov	ProperN	N	face	face	animate	animate	Anim	Inanim	g	Y	N	-2.397940009	1	1	76
bg04.0108.02	Brown	BG04	Non-fiction	0	s	BOD	the man's lashes		the man's	man	CommonN	N	lashes	lashes	animate	animate	Anim	Inanim	g	Y	N	-2.346787486	2	1	81
bg40.0023.01	Brown	BG40	Non-fiction	0	s	BOD	the fat man's arm		the fat man's	man	CommonN	N	arm	arm	animate	animate	Anim	Inanim	g	Y	Y	-2.301029996	3	1	78
bg18.0092.01	Brown	BG18	Non-fiction	0	of	BOD	the body  of Charles		Charles	Charles	ProperN	Y	the body	body	animate	animate	Anim	Inanim	g	Y	N	-2.22184875	1	2	77
bg48.0014.01	Brown	BG48	Non-fiction	0	s	BOD	Thomas' injured back		Thomas'	Thomas	ProperN	Y	injured back	back	animate	animate	Anim	Inanim	g	Y	Y	-2.022276395	1	2	74
ba19.0059.02	Brown	BA19	Press	0	s	BOD	Mrs. Dresbach's body		Mrs. Dresbach's	Dresbach	ProperN	N	body	body	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	2	1	75
ba11.0024.02	Brown	BA11	Press	1	s	BOD	first baseman Throneberry's head		first baseman Throneberry's	Throneberry	ProperN	N	head	head	animate	animate	Anim	Inanim	n	Y	Y	-2.602059991	3	1	74
bn10.0143.01	Brown	BN10	Adventure Fiction	0	s	BOD	the lawman's other arm		the lawman's	lawman	CommonN	N	other arm	arm	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	2	2	77.27272727
bn18.0024.02	Brown	BN18	Adventure Fiction	0	s	BOD	an animal's entire body		an animal's	animal	CommonN	N	entire body	body	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	2	72
